scenario,family,true,pred,count
10-fold cross-validation,catboost,bim,bim,13
10-fold cross-validation,catboost,bim,fgm,3
10-fold cross-validation,catboost,bim,hsj,0
10-fold cross-validation,catboost,bim,org,0
10-fold cross-validation,catboost,bim,pgd,2
10-fold cross-validation,catboost,bim,zoo,0
10-fold cross-validation,catboost,fgm,bim,1
10-fold cross-validation,catboost,fgm,fgm,12
10-fold cross-validation,catboost,fgm,hsj,0
10-fold cross-validation,catboost,fgm,org,0
10-fold cross-validation,catboost,fgm,pgd,5
10-fold cross-validation,catboost,fgm,zoo,0
10-fold cross-validation,catboost,hsj,bim,0
10-fold cross-validation,catboost,hsj,fgm,0
10-fold cross-validation,catboost,hsj,hsj,45
10-fold cross-validation,catboost,hsj,org,6
10-fold cross-validation,catboost,hsj,pgd,0
10-fold cross-validation,catboost,hsj,zoo,3
10-fold cross-validation,catboost,org,bim,0
10-fold cross-validation,catboost,org,fgm,0
10-fold cross-validation,catboost,org,hsj,0
10-fold cross-validation,catboost,org,org,72
10-fold cross-validation,catboost,org,pgd,0
10-fold cross-validation,catboost,org,zoo,0
10-fold cross-validation,catboost,pgd,bim,4
10-fold cross-validation,catboost,pgd,fgm,3
10-fold cross-validation,catboost,pgd,hsj,0
10-fold cross-validation,catboost,pgd,org,0
10-fold cross-validation,catboost,pgd,pgd,11
10-fold cross-validation,catboost,pgd,zoo,0
10-fold cross-validation,catboost,zoo,bim,0
10-fold cross-validation,catboost,zoo,fgm,0
10-fold cross-validation,catboost,zoo,hsj,11
10-fold cross-validation,catboost,zoo,org,0
10-fold cross-validation,catboost,zoo,pgd,0
10-fold cross-validation,catboost,zoo,zoo,43
10-fold cross-validation,extratrees,bim,bim,12
10-fold cross-validation,extratrees,bim,fgm,5
10-fold cross-validation,extratrees,bim,hsj,0
10-fold cross-validation,extratrees,bim,org,0
10-fold cross-validation,extratrees,bim,pgd,1
10-fold cross-validation,extratrees,bim,zoo,0
10-fold cross-validation,extratrees,fgm,bim,0
10-fold cross-validation,extratrees,fgm,fgm,11
10-fold cross-validation,extratrees,fgm,hsj,0
10-fold cross-validation,extratrees,fgm,org,0
10-fold cross-validation,extratrees,fgm,pgd,7
10-fold cross-validation,extratrees,fgm,zoo,0
10-fold cross-validation,extratrees,hsj,bim,0
10-fold cross-validation,extratrees,hsj,fgm,0
10-fold cross-validation,extratrees,hsj,hsj,41
10-fold cross-validation,extratrees,hsj,org,6
10-fold cross-validation,extratrees,hsj,pgd,0
10-fold cross-validation,extratrees,hsj,zoo,7
10-fold cross-validation,extratrees,org,bim,0
10-fold cross-validation,extratrees,org,fgm,0
10-fold cross-validation,extratrees,org,hsj,0
10-fold cross-validation,extratrees,org,org,72
10-fold cross-validation,extratrees,org,pgd,0
10-fold cross-validation,extratrees,org,zoo,0
10-fold cross-validation,extratrees,pgd,bim,2
10-fold cross-validation,extratrees,pgd,fgm,4
10-fold cross-validation,extratrees,pgd,hsj,0
10-fold cross-validation,extratrees,pgd,org,0
10-fold cross-validation,extratrees,pgd,pgd,12
10-fold cross-validation,extratrees,pgd,zoo,0
10-fold cross-validation,extratrees,zoo,bim,0
10-fold cross-validation,extratrees,zoo,fgm,0
10-fold cross-validation,extratrees,zoo,hsj,11
10-fold cross-validation,extratrees,zoo,org,0
10-fold cross-validation,extratrees,zoo,pgd,0
10-fold cross-validation,extratrees,zoo,zoo,43
10-fold cross-validation,mlp,bim,bim,11
10-fold cross-validation,mlp,bim,fgm,4
10-fold cross-validation,mlp,bim,hsj,0
10-fold cross-validation,mlp,bim,org,0
10-fold cross-validation,mlp,bim,pgd,3
10-fold cross-validation,mlp,bim,zoo,0
10-fold cross-validation,mlp,fgm,bim,9
10-fold cross-validation,mlp,fgm,fgm,8
10-fold cross-validation,mlp,fgm,hsj,0
10-fold cross-validation,mlp,fgm,org,0
10-fold cross-validation,mlp,fgm,pgd,1
10-fold cross-validation,mlp,fgm,zoo,0
10-fold cross-validation,mlp,hsj,bim,0
10-fold cross-validation,mlp,hsj,fgm,0
10-fold cross-validation,mlp,hsj,hsj,32
10-fold cross-validation,mlp,hsj,org,6
10-fold cross-validation,mlp,hsj,pgd,0
10-fold cross-validation,mlp,hsj,zoo,16
10-fold cross-validation,mlp,org,bim,0
10-fold cross-validation,mlp,org,fgm,0
10-fold cross-validation,mlp,org,hsj,1
10-fold cross-validation,mlp,org,org,71
10-fold cross-validation,mlp,org,pgd,0
10-fold cross-validation,mlp,org,zoo,0
10-fold cross-validation,mlp,pgd,bim,7
10-fold cross-validation,mlp,pgd,fgm,1
10-fold cross-validation,mlp,pgd,hsj,0
10-fold cross-validation,mlp,pgd,org,0
10-fold cross-validation,mlp,pgd,pgd,10
10-fold cross-validation,mlp,pgd,zoo,0
10-fold cross-validation,mlp,zoo,bim,0
10-fold cross-validation,mlp,zoo,fgm,0
10-fold cross-validation,mlp,zoo,hsj,7
10-fold cross-validation,mlp,zoo,org,1
10-fold cross-validation,mlp,zoo,pgd,0
10-fold cross-validation,mlp,zoo,zoo,46
10-fold cross-validation,rf,bim,bim,14
10-fold cross-validation,rf,bim,fgm,2
10-fold cross-validation,rf,bim,hsj,0
10-fold cross-validation,rf,bim,org,0
10-fold cross-validation,rf,bim,pgd,2
10-fold cross-validation,rf,bim,zoo,0
10-fold cross-validation,rf,fgm,bim,3
10-fold cross-validation,rf,fgm,fgm,10
10-fold cross-validation,rf,fgm,hsj,0
10-fold cross-validation,rf,fgm,org,0
10-fold cross-validation,rf,fgm,pgd,5
10-fold cross-validation,rf,fgm,zoo,0
10-fold cross-validation,rf,hsj,bim,0
10-fold cross-validation,rf,hsj,fgm,0
10-fold cross-validation,rf,hsj,hsj,44
10-fold cross-validation,rf,hsj,org,1
10-fold cross-validation,rf,hsj,pgd,0
10-fold cross-validation,rf,hsj,zoo,9
10-fold cross-validation,rf,org,bim,0
10-fold cross-validation,rf,org,fgm,0
10-fold cross-validation,rf,org,hsj,0
10-fold cross-validation,rf,org,org,66
10-fold cross-validation,rf,org,pgd,0
10-fold cross-validation,rf,org,zoo,6
10-fold cross-validation,rf,pgd,bim,1
10-fold cross-validation,rf,pgd,fgm,5
10-fold cross-validation,rf,pgd,hsj,0
10-fold cross-validation,rf,pgd,org,0
10-fold cross-validation,rf,pgd,pgd,12
10-fold cross-validation,rf,pgd,zoo,0
10-fold cross-validation,rf,zoo,bim,0
10-fold cross-validation,rf,zoo,fgm,0
10-fold cross-validation,rf,zoo,hsj,15
10-fold cross-validation,rf,zoo,org,0
10-fold cross-validation,rf,zoo,pgd,0
10-fold cross-validation,rf,zoo,zoo,39
10-fold cross-validation,xgb,bim,bim,15
10-fold cross-validation,xgb,bim,fgm,1
10-fold cross-validation,xgb,bim,hsj,0
10-fold cross-validation,xgb,bim,org,0
10-fold cross-validation,xgb,bim,pgd,2
10-fold cross-validation,xgb,bim,zoo,0
10-fold cross-validation,xgb,fgm,bim,2
10-fold cross-validation,xgb,fgm,fgm,11
10-fold cross-validation,xgb,fgm,hsj,0
10-fold cross-validation,xgb,fgm,org,0
10-fold cross-validation,xgb,fgm,pgd,5
10-fold cross-validation,xgb,fgm,zoo,0
10-fold cross-validation,xgb,hsj,bim,0
10-fold cross-validation,xgb,hsj,fgm,0
10-fold cross-validation,xgb,hsj,hsj,45
10-fold cross-validation,xgb,hsj,org,5
10-fold cross-validation,xgb,hsj,pgd,0
10-fold cross-validation,xgb,hsj,zoo,4
10-fold cross-validation,xgb,org,bim,0
10-fold cross-validation,xgb,org,fgm,0
10-fold cross-validation,xgb,org,hsj,4
10-fold cross-validation,xgb,org,org,67
10-fold cross-validation,xgb,org,pgd,0
10-fold cross-validation,xgb,org,zoo,1
10-fold cross-validation,xgb,pgd,bim,1
10-fold cross-validation,xgb,pgd,fgm,5
10-fold cross-validation,xgb,pgd,hsj,0
10-fold cross-validation,xgb,pgd,org,0
10-fold cross-validation,xgb,pgd,pgd,12
10-fold cross-validation,xgb,pgd,zoo,0
10-fold cross-validation,xgb,zoo,bim,0
10-fold cross-validation,xgb,zoo,fgm,0
10-fold cross-validation,xgb,zoo,hsj,6
10-fold cross-validation,xgb,zoo,org,0
10-fold cross-validation,xgb,zoo,pgd,0
10-fold cross-validation,xgb,zoo,zoo,48
one-data-set-out,catboost,bim,bim,6
one-data-set-out,catboost,bim,fgm,6
one-data-set-out,catboost,bim,hsj,0
one-data-set-out,catboost,bim,org,6
one-data-set-out,catboost,bim,pgd,0
one-data-set-out,catboost,bim,zoo,0
one-data-set-out,catboost,fgm,bim,6
one-data-set-out,catboost,fgm,fgm,7
one-data-set-out,catboost,fgm,hsj,0
one-data-set-out,catboost,fgm,org,5
one-data-set-out,catboost,fgm,pgd,0
one-data-set-out,catboost,fgm,zoo,0
one-data-set-out,catboost,hsj,bim,0
one-data-set-out,catboost,hsj,fgm,0
one-data-set-out,catboost,hsj,hsj,35
one-data-set-out,catboost,hsj,org,6
one-data-set-out,catboost,hsj,pgd,0
one-data-set-out,catboost,hsj,zoo,13
one-data-set-out,catboost,org,bim,0
one-data-set-out,catboost,org,fgm,0
one-data-set-out,catboost,org,hsj,6
one-data-set-out,catboost,org,org,54
one-data-set-out,catboost,org,pgd,0
one-data-set-out,catboost,org,zoo,12
one-data-set-out,catboost,pgd,bim,6
one-data-set-out,catboost,pgd,fgm,6
one-data-set-out,catboost,pgd,hsj,0
one-data-set-out,catboost,pgd,org,6
one-data-set-out,catboost,pgd,pgd,0
one-data-set-out,catboost,pgd,zoo,0
one-data-set-out,catboost,zoo,bim,0
one-data-set-out,catboost,zoo,fgm,0
one-data-set-out,catboost,zoo,hsj,16
one-data-set-out,catboost,zoo,org,6
one-data-set-out,catboost,zoo,pgd,0
one-data-set-out,catboost,zoo,zoo,32
one-data-set-out,extratrees,bim,bim,11
one-data-set-out,extratrees,bim,fgm,6
one-data-set-out,extratrees,bim,hsj,0
one-data-set-out,extratrees,bim,org,0
one-data-set-out,extratrees,bim,pgd,1
one-data-set-out,extratrees,bim,zoo,0
one-data-set-out,extratrees,fgm,bim,11
one-data-set-out,extratrees,fgm,fgm,7
one-data-set-out,extratrees,fgm,hsj,0
one-data-set-out,extratrees,fgm,org,0
one-data-set-out,extratrees,fgm,pgd,0
one-data-set-out,extratrees,fgm,zoo,0
one-data-set-out,extratrees,hsj,bim,0
one-data-set-out,extratrees,hsj,fgm,0
one-data-set-out,extratrees,hsj,hsj,26
one-data-set-out,extratrees,hsj,org,6
one-data-set-out,extratrees,hsj,pgd,0
one-data-set-out,extratrees,hsj,zoo,22
one-data-set-out,extratrees,org,bim,0
one-data-set-out,extratrees,org,fgm,0
one-data-set-out,extratrees,org,hsj,0
one-data-set-out,extratrees,org,org,72
one-data-set-out,extratrees,org,pgd,0
one-data-set-out,extratrees,org,zoo,0
one-data-set-out,extratrees,pgd,bim,10
one-data-set-out,extratrees,pgd,fgm,2
one-data-set-out,extratrees,pgd,hsj,0
one-data-set-out,extratrees,pgd,org,1
one-data-set-out,extratrees,pgd,pgd,5
one-data-set-out,extratrees,pgd,zoo,0
one-data-set-out,extratrees,zoo,bim,0
one-data-set-out,extratrees,zoo,fgm,0
one-data-set-out,extratrees,zoo,hsj,16
one-data-set-out,extratrees,zoo,org,6
one-data-set-out,extratrees,zoo,pgd,0
one-data-set-out,extratrees,zoo,zoo,32
one-data-set-out,mlp,bim,bim,15
one-data-set-out,mlp,bim,fgm,0
one-data-set-out,mlp,bim,hsj,0
one-data-set-out,mlp,bim,org,3
one-data-set-out,mlp,bim,pgd,0
one-data-set-out,mlp,bim,zoo,0
one-data-set-out,mlp,fgm,bim,17
one-data-set-out,mlp,fgm,fgm,0
one-data-set-out,mlp,fgm,hsj,0
one-data-set-out,mlp,fgm,org,1
one-data-set-out,mlp,fgm,pgd,0
one-data-set-out,mlp,fgm,zoo,0
one-data-set-out,mlp,hsj,bim,0
one-data-set-out,mlp,hsj,fgm,0
one-data-set-out,mlp,hsj,hsj,29
one-data-set-out,mlp,hsj,org,6
one-data-set-out,mlp,hsj,pgd,0
one-data-set-out,mlp,hsj,zoo,19
one-data-set-out,mlp,org,bim,0
one-data-set-out,mlp,org,fgm,0
one-data-set-out,mlp,org,hsj,7
one-data-set-out,mlp,org,org,65
one-data-set-out,mlp,org,pgd,0
one-data-set-out,mlp,org,zoo,0
one-data-set-out,mlp,pgd,bim,13
one-data-set-out,mlp,pgd,fgm,0
one-data-set-out,mlp,pgd,hsj,0
one-data-set-out,mlp,pgd,org,5
one-data-set-out,mlp,pgd,pgd,0
one-data-set-out,mlp,pgd,zoo,0
one-data-set-out,mlp,zoo,bim,0
one-data-set-out,mlp,zoo,fgm,0
one-data-set-out,mlp,zoo,hsj,28
one-data-set-out,mlp,zoo,org,8
one-data-set-out,mlp,zoo,pgd,0
one-data-set-out,mlp,zoo,zoo,18
one-data-set-out,rf,bim,bim,3
one-data-set-out,rf,bim,fgm,4
one-data-set-out,rf,bim,hsj,0
one-data-set-out,rf,bim,org,1
one-data-set-out,rf,bim,pgd,10
one-data-set-out,rf,bim,zoo,0
one-data-set-out,rf,fgm,bim,0
one-data-set-out,rf,fgm,fgm,6
one-data-set-out,rf,fgm,hsj,0
one-data-set-out,rf,fgm,org,6
one-data-set-out,rf,fgm,pgd,6
one-data-set-out,rf,fgm,zoo,0
one-data-set-out,rf,hsj,bim,0
one-data-set-out,rf,hsj,fgm,0
one-data-set-out,rf,hsj,hsj,38
one-data-set-out,rf,hsj,org,6
one-data-set-out,rf,hsj,pgd,0
one-data-set-out,rf,hsj,zoo,10
one-data-set-out,rf,org,bim,0
one-data-set-out,rf,org,fgm,0
one-data-set-out,rf,org,hsj,0
one-data-set-out,rf,org,org,66
one-data-set-out,rf,org,pgd,0
one-data-set-out,rf,org,zoo,6
one-data-set-out,rf,pgd,bim,1
one-data-set-out,rf,pgd,fgm,2
one-data-set-out,rf,pgd,hsj,0
one-data-set-out,rf,pgd,org,1
one-data-set-out,rf,pgd,pgd,14
one-data-set-out,rf,pgd,zoo,0
one-data-set-out,rf,zoo,bim,0
one-data-set-out,rf,zoo,fgm,0
one-data-set-out,rf,zoo,hsj,13
one-data-set-out,rf,zoo,org,6
one-data-set-out,rf,zoo,pgd,0
one-data-set-out,rf,zoo,zoo,35
one-data-set-out,voting,bim,bim,7
one-data-set-out,voting,bim,fgm,4
one-data-set-out,voting,bim,hsj,0
one-data-set-out,voting,bim,org,5
one-data-set-out,voting,bim,pgd,2
one-data-set-out,voting,bim,zoo,0
one-data-set-out,voting,fgm,bim,6
one-data-set-out,voting,fgm,fgm,7
one-data-set-out,voting,fgm,hsj,0
one-data-set-out,voting,fgm,org,4
one-data-set-out,voting,fgm,pgd,1
one-data-set-out,voting,fgm,zoo,0
one-data-set-out,voting,hsj,bim,0
one-data-set-out,voting,hsj,fgm,0
one-data-set-out,voting,hsj,hsj,5
one-data-set-out,voting,hsj,org,6
one-data-set-out,voting,hsj,pgd,0
one-data-set-out,voting,hsj,zoo,43
one-data-set-out,voting,org,bim,0
one-data-set-out,voting,org,fgm,0
one-data-set-out,voting,org,hsj,0
one-data-set-out,voting,org,org,61
one-data-set-out,voting,org,pgd,0
one-data-set-out,voting,org,zoo,11
one-data-set-out,voting,pgd,bim,6
one-data-set-out,voting,pgd,fgm,1
one-data-set-out,voting,pgd,hsj,0
one-data-set-out,voting,pgd,org,6
one-data-set-out,voting,pgd,pgd,5
one-data-set-out,voting,pgd,zoo,0
one-data-set-out,voting,zoo,bim,0
one-data-set-out,voting,zoo,fgm,0
one-data-set-out,voting,zoo,hsj,12
one-data-set-out,voting,zoo,org,6
one-data-set-out,voting,zoo,pgd,0
one-data-set-out,voting,zoo,zoo,36
one-data-set-out,xgb,bim,bim,11
one-data-set-out,xgb,bim,fgm,5
one-data-set-out,xgb,bim,hsj,0
one-data-set-out,xgb,bim,org,0
one-data-set-out,xgb,bim,pgd,2
one-data-set-out,xgb,bim,zoo,0
one-data-set-out,xgb,fgm,bim,10
one-data-set-out,xgb,fgm,fgm,7
one-data-set-out,xgb,fgm,hsj,0
one-data-set-out,xgb,fgm,org,0
one-data-set-out,xgb,fgm,pgd,1
one-data-set-out,xgb,fgm,zoo,0
one-data-set-out,xgb,hsj,bim,0
one-data-set-out,xgb,hsj,fgm,0
one-data-set-out,xgb,hsj,hsj,25
one-data-set-out,xgb,hsj,org,6
one-data-set-out,xgb,hsj,pgd,0
one-data-set-out,xgb,hsj,zoo,23
one-data-set-out,xgb,org,bim,0
one-data-set-out,xgb,org,fgm,0
one-data-set-out,xgb,org,hsj,0
one-data-set-out,xgb,org,org,54
one-data-set-out,xgb,org,pgd,0
one-data-set-out,xgb,org,zoo,18
one-data-set-out,xgb,pgd,bim,12
one-data-set-out,xgb,pgd,fgm,1
one-data-set-out,xgb,pgd,hsj,0
one-data-set-out,xgb,pgd,org,0
one-data-set-out,xgb,pgd,pgd,5
one-data-set-out,xgb,pgd,zoo,0
one-data-set-out,xgb,zoo,bim,0
one-data-set-out,xgb,zoo,fgm,0
one-data-set-out,xgb,zoo,hsj,9
one-data-set-out,xgb,zoo,org,6
one-data-set-out,xgb,zoo,pgd,0
one-data-set-out,xgb,zoo,zoo,39
one-model-out,catboost,bim,bim,0
one-model-out,catboost,bim,fgm,0
one-model-out,catboost,bim,hsj,0
one-model-out,catboost,bim,org,18
one-model-out,catboost,bim,pgd,0
one-model-out,catboost,bim,zoo,0
one-model-out,catboost,fgm,bim,0
one-model-out,catboost,fgm,fgm,0
one-model-out,catboost,fgm,hsj,0
one-model-out,catboost,fgm,org,18
one-model-out,catboost,fgm,pgd,0
one-model-out,catboost,fgm,zoo,0
one-model-out,catboost,hsj,bim,0
one-model-out,catboost,hsj,fgm,0
one-model-out,catboost,hsj,hsj,42
one-model-out,catboost,hsj,org,6
one-model-out,catboost,hsj,pgd,0
one-model-out,catboost,hsj,zoo,6
one-model-out,catboost,org,bim,0
one-model-out,catboost,org,fgm,0
one-model-out,catboost,org,hsj,0
one-model-out,catboost,org,org,72
one-model-out,catboost,org,pgd,0
one-model-out,catboost,org,zoo,0
one-model-out,catboost,pgd,bim,0
one-model-out,catboost,pgd,fgm,0
one-model-out,catboost,pgd,hsj,0
one-model-out,catboost,pgd,org,18
one-model-out,catboost,pgd,pgd,0
one-model-out,catboost,pgd,zoo,0
one-model-out,catboost,zoo,bim,0
one-model-out,catboost,zoo,fgm,0
one-model-out,catboost,zoo,hsj,14
one-model-out,catboost,zoo,org,6
one-model-out,catboost,zoo,pgd,0
one-model-out,catboost,zoo,zoo,34
one-model-out,extratrees,bim,bim,0
one-model-out,extratrees,bim,fgm,0
one-model-out,extratrees,bim,hsj,0
one-model-out,extratrees,bim,org,18
one-model-out,extratrees,bim,pgd,0
one-model-out,extratrees,bim,zoo,0
one-model-out,extratrees,fgm,bim,0
one-model-out,extratrees,fgm,fgm,0
one-model-out,extratrees,fgm,hsj,0
one-model-out,extratrees,fgm,org,18
one-model-out,extratrees,fgm,pgd,0
one-model-out,extratrees,fgm,zoo,0
one-model-out,extratrees,hsj,bim,0
one-model-out,extratrees,hsj,fgm,0
one-model-out,extratrees,hsj,hsj,41
one-model-out,extratrees,hsj,org,6
one-model-out,extratrees,hsj,pgd,0
one-model-out,extratrees,hsj,zoo,7
one-model-out,extratrees,org,bim,0
one-model-out,extratrees,org,fgm,0
one-model-out,extratrees,org,hsj,0
one-model-out,extratrees,org,org,72
one-model-out,extratrees,org,pgd,0
one-model-out,extratrees,org,zoo,0
one-model-out,extratrees,pgd,bim,0
one-model-out,extratrees,pgd,fgm,0
one-model-out,extratrees,pgd,hsj,0
one-model-out,extratrees,pgd,org,18
one-model-out,extratrees,pgd,pgd,0
one-model-out,extratrees,pgd,zoo,0
one-model-out,extratrees,zoo,bim,0
